"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Negative feedback from users: Hide all","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
1317427143739664,100064171711579,"Impact Networking","“We know we should be using AI… we just don’t know how.” That’s the most common thing we hear. So we launched AI Consulting to help teams get clarity on where AI actually fits in their systems… without adding more tools or headaches. Get clari","“We know we should be using AI… we just don’t know how.”
 
That’s the most common thing we hear.
 
So we launched AI Consulting to help teams get clarity on where AI actually fits in their systems… without adding more tools or headaches.
 
Get clarity on AI at https://hubs.ly/Q03Zh_yk0

#AIServices #AIConsulting #AI",64,"01/05/2026 08:00",N/A,https://www.facebook.com/impactmybiz/videos/884363017385304/,0,0,Videos,,,,,Lifetime,180,177,8,8,0,0,3,3,,,,1538.896,8.895,0,0,0
1387662636716114,100064171711579,"Impact Networking","Our cybersecurity and client experience experts, Chad Adams, Technology & Security Consultant; Michael Giardina, VP of Client Experience; and special guest Jeremiah School, President of DOT Security are digging into how cybersecurity can act as a stress test for growing businesses.

This conversation goes beyond the basics... exploring purpose-led security, clearly defining problems, aligning technology to how work actually happens, and designing systems that support growth instead of slowing it down.

What we'll cover:
❗️How security can enable growth instead of blocking it
❗️Treating cybersecurity as a business system and risk management strategy, not an IT add-on
❗️What intentional design looks like at the leadership level

This is for leaders responsible for outcomes, not just technology, who are ready to understand how security exposes deeper system issues and how intentional design can unlock sustainable growth.

📅 Wednesday, April 29th
⏰ 1 PM CT
📍 Live at https://hubs.ly/Q048TFd50

#CybersecurityLive #LinkedInLive #CybersecEvent",,0,"03/30/2026 08:13",N/A,https://www.facebook.com/impactmybiz/posts/pfbid0k3kcG8CXJJkebzf1fKYxrr9TJ49wjQFbMBYJ1VAYTo7E3LCE8yT1w3mn88kGR1Qal,0,0,Photos,,,,,Lifetime,97,71,1,1,0,0,0,,,,,,,,,
1384370543711990,100064171711579,"Impact Networking","Workplace chaos doesn’t look the same for every company. Where do you stand compared to your competitors? Our Reality of Business Technology Adoption report breaks down how companies really feel about tech adoption and what they’re doing about it. Che","Workplace chaos doesn’t look the same for every company.

Where do you stand compared to your competitors? 

Our Reality of Business Technology Adoption report breaks down how companies really feel about tech adoption and what they’re doing about it. Check it out at https://hubs.ly/Q048tYD00",125,"03/26/2026 08:29",N/A,https://www.facebook.com/reel/1591657228753510/,0,0,Videos,,,,,Lifetime,144,118,2,2,0,0,2,2,,,,2587.814,20.869,0,0,0
1383443767138001,100064171711579,"Impact Networking","A managed services partnership is not a one-and-done decision. It can affect your business every day, shaping your team’s workload, your time, and your ability to plan for what is next. Join us TODAY as Juan Valerio, CEO of Mi Costeñita, shares the les","A managed services partnership is not a one-and-done decision. It can affect your business every day, shaping your team’s workload, your time, and your ability to plan for what is next.

Join us TODAY as Juan Valerio, CEO of Mi Costeñita, shares the lessons his team learned from partnering with an MSP.

If you have been weighing whether to bring on an MSP, or quietly wondering if your current provider is doing enough, this session is a chance to hear from someone who has been in your seat.

Save your spot for today’s webinar at 10 a.m. CST 
👉  https://hubs.ly/Q0489cMq0

#ClientStory #MSP",104,"03/25/2026 08:01",N/A,https://www.facebook.com/reel/4621121188177213/,0,0,Videos,,,,,Lifetime,133,109,3,3,0,0,4,4,,,,757.152,6.106,0,0,0
1381692490646462,100064171711579,"Impact Networking","Nothing kills confidence in a new partnership faster than poor communication. A Customer Experience Manager brings structure, visibility, and follow-through, helping ensure work gets done, priorities stay aligned, and your team can stay focused on bigger","Nothing kills confidence in a new partnership faster than poor communication.
 
A Customer Experience Manager brings structure, visibility, and follow-through, helping ensure work gets done, priorities stay aligned, and your team can stay focused on bigger-picture strategy.
 
When you work with Impact, you are not left wondering what is happening behind the scenes.
 
Learn more about what successful customer experience looks like at https://hubs.ly/Q047NR-N0

#CustomerExperience #ClientSuccess #SuccessStory",86,"03/23/2026 08:00",N/A,https://www.facebook.com/reel/773226595582803/,0,0,Videos,,,,,Lifetime,479,365,32,27,4,1,13,13,,,,5158.969,11.778,0,0,0
1378051104343934,100064171711579,"Impact Networking","When #security and #compliance stakes are high, Microsoft 365 GCC High is built to meet the moment... especially for organizations handling government data. With advanced security, dedicated U.S.-based infrastructure, and access limited to eligible organ","When #security and #compliance stakes are high, Microsoft 365 GCC High is built to meet the moment... especially for organizations handling government data.

With advanced security, dedicated U.S.-based infrastructure, and access limited to eligible organizations, GCC High supports complex compliance needs while keeping familiar tools like Teams, SharePoint, and OneDrive in the mix.

Learn how GCC High can help organizations meet complex compliance standards in our blog at https://hubs.ly/Q046M0Dl0

#CyberSec",60,"03/19/2026 09:15",N/A,https://www.facebook.com/reel/2960175320841109/,0,0,Videos,,,,,Lifetime,135,125,6,6,0,0,4,4,,,,755.609,6.349,0,0,0
1377214397760938,100064171711579,"Impact Networking","A managed service deal isn't a one-and-done decision. It's something that will affect your business almost every day, impacting your team, time, and ability to plan for what's next. Join us as Juan Valerio, CEO of Mi Costeñita, walks through the less","A managed service deal isn't a one-and-done decision.

It's something that will affect your business almost every day, impacting your team, time, and ability to plan for what's next.

Join us as Juan Valerio, CEO of Mi Costeñita, walks through the lessons his team learned from partnering with an MSP.

If you’re on the fence about bringing on an MSP (or quietly wondering if your current partner is doing enough), this session is a chance to hear from someone who has been in your seat.

Save your spot for this exclusive webinar on March 25th at 10am CST 👉 https://hubs.ly/Q046M1Ds0

#ClientStory #MSP",41,"03/18/2026 08:03",N/A,https://www.facebook.com/reel/945288368456819/,0,0,Videos,,,,,Lifetime,248,155,8,7,0,1,6,6,,,,2092.312,9.34,0.01,0,0
1376500341165677,100064171711579,"Impact Networking","And the Oscar goes to…

The person somehow managing strategy, operations, tech issues, and everyone’s “quick question.”

When routine IT work stops consuming your team’s time, something important happens:they can focus on the work that actually drives the business forward.

Here’s how many organizations are making that shift:https://hubs.ly/Q0478nFX0

#ManagedIT #MSP #ManagedServices",,0,"03/17/2026 09:18",N/A,https://www.facebook.com/impactmybiz/posts/pfbid0QtkvzPHEzazY1BJvDLJcCEHtS9h6LeN5ir3gnqjmCpc5914EBHytgmnqvABDxMful,0,0,Photos,,,,,Lifetime,197,140,1,1,0,0,6,,6,,,,,,,
1372455961570115,100064171711579,"Impact Networking","At peace thinking about all the business and tech trends I'll learn about this month. 😌✨
 
Staying ahead is a little easier when the right insights are already waiting for you.

Want in? Join us for a monthly dose of business and tech insights at https://hubs.ly/Q045VqYL0

📸 : rpnickson on @Unsplash",,0,"03/12/2026 09:19",N/A,https://www.facebook.com/impactmybiz/posts/pfbid07vtGjnWj9uyuuZX8bHtNrPD3MXtYK52D3DW8XEHLD8nNKSFhFUesSrXV1bPyXSkrl,0,0,Photos,,,,,Lifetime,197,137,6,6,0,0,5,5,,,,,,,,
1370859741729737,100064171711579,"Impact Networking","Most pitches from traditional service providers sound great until you’re six months into a contract wondering, “Is this actually helping us?”

In this upcoming webinar, we sit down with client and Mi Costeñita CEO Juan Valerio for an honest look at his team’s experience working with Impact as their managed services provider.

You’ll hear a personal account of:
🔺 What “good” managed services should feel like day-to-day
🔺 How Mi Costeñita freed up their team to focus on the work that actually moves the business forward
🔺 Red flags to watch out for before locking into a contract

Save your spot for this exclusive webinar on March 25th at 10am CST
 👉 https://hubs.ly/Q045T_Fx0

#ClientStory #MSP",,0,"03/10/2026 09:14",N/A,https://www.facebook.com/impactmybiz/posts/pfbid02E5LyJqRr5iTv2eGm71VAsRWaK66ScTkHzGs2J7jzc1FRC4j6yoE6TYFP5NpCszRWl,0,0,Photos,,,,,Lifetime,229,163,7,7,0,0,3,2,1,,,,,,,
